tag
Exploration
Puzzle
Choose Your Own Adventure
Strategy
2D
RPG
Dragons
JRPG
Story Rich
Noir
Multiple Endings
Narration
Linear
Pixel Graphics
Minimalist
Stylized
Logic
Magic
Atmospheric
Adventure
