"DateTime","Final price","Historical Low"
"2022-04-15 03:45:02",61.2,61.2
"2022-04-21 17:02:55",68,61.2
"2022-04-23 18:40:02",0,
"2022-05-02 17:23:26",68,61.2
"2022-05-02 17:40:13",0,
"2022-05-04 18:00:02",68,61.2
"2022-08-08 17:23:22",47.6,47.6
"2022-08-15 17:23:32",68,47.6
"2024-04-18 02:00:02",27.2,27.2
"2024-05-02 02:05:02",68,27.2
"2024-06-04 17:02:43",20.4,20.4
"2024-06-18 17:02:45",68,20.4
"2024-06-27 17:54:48",20.4,20.4
"2024-07-11 17:31:21",68,20.4
"2024-07-30 17:02:32",20.4,20.4
"2024-08-13 17:02:32",68,20.4
"2024-09-29 18:05:02",20.4,20.4
"2024-10-13 18:05:02",68,20.4
"2024-11-27 18:28:17",20.4,20.4
"2024-12-04 18:31:36",68,20.4
"2024-12-19 20:30:26",20.4,20.4
"2025-01-02 19:03:27",68,20.4
"2025-01-21 18:01:35",20.4,20.4
"2025-02-04 18:01:34",68,20.4
"2025-03-17 01:25:02",20.4,20.4
"2025-03-20 18:04:12",68,20.4
"2025-04-22 17:01:54",20.4,20.4
"2025-05-06 17:01:48",68,20.4
"2025-10-09 17:02:00",20.4,20.4
"2025-10-23 17:01:52",68,20.4
"2025-12-09 09:04:43",68,20.4
"2025-12-09 09:04:43",,20.4
