tag
Life Sim
Simulation
Survival
Realistic
Sandbox
Open World
Strategy
Choices Matter
Emotional
Resource Management
Management
Romance
Multiple Endings
Character Customization
Story Rich
Adventure
Singleplayer
Atmospheric
Choose Your Own Adventure
3D
