"DateTime","Final price","Historical Low"
"2022-05-26 02:00:02",78,78
"2022-09-15 07:05:02",66.3,66.3
"2022-09-21 00:15:03",0,
"2022-09-21 05:15:02",66.3,66.3
"2022-09-22 07:05:02",78,66.3
"2022-10-25 17:19:17",62.4,62.4
"2022-11-01 17:22:43",78,62.4
"2022-11-22 18:11:27",62.4,62.4
"2022-11-29 18:24:09",78,62.4
"2022-12-01 18:02:16",62.4,62.4
"2022-12-04 18:02:12",78,62.4
"2022-12-22 18:11:41",62.4,62.4
"2023-01-05 18:24:36",78,62.4
"2023-01-16 13:05:03",62.4,62.4
"2023-01-26 13:01:21",78,62.4
"2023-03-16 17:23:56",62.4,62.4
"2023-03-23 17:24:06",78,62.4
"2023-04-11 17:02:10",62.4,62.4
"2023-04-18 17:02:06",78,62.4
"2023-05-27 17:02:12",62.4,62.4
"2023-06-05 17:22:50",78,62.4
"2023-06-29 17:30:18",62.4,62.4
"2023-07-13 17:24:20",78,62.4
"2023-09-07 17:02:20",62.4,62.4
"2023-09-18 17:22:54",78,62.4
"2023-09-28 14:25:03",98,62.4
"2023-11-02 14:05:02",83.3,62.4
"2023-11-09 14:05:03",98,62.4
"2023-11-21 18:12:50",78.4,62.4
"2023-11-28 18:29:49",98,62.4
"2023-12-21 18:10:46",78.4,62.4
"2024-01-04 18:38:48",98,62.4
"2024-02-06 18:02:18",78.4,62.4
"2024-02-15 18:27:24",98,62.4
"2024-03-14 17:43:57",73.5,62.4
"2024-03-21 17:30:06",98,62.4
"2024-03-25 17:22:45",73.5,62.4
"2024-04-01 17:23:02",98,62.4
"2024-05-27 17:23:07",73.5,62.4
"2024-06-10 17:22:45",98,62.4
"2024-06-27 17:53:08",68.6,62.4
"2024-07-11 17:29:46",73.5,62.4
"2024-07-18 17:02:34",98,62.4
"2024-09-05 17:02:03",68.6,62.4
"2024-09-16 17:24:36",98,62.4
"2024-10-16 17:02:04",68.6,62.4
"2024-10-30 17:02:09",98,62.4
"2024-11-27 18:25:30",68.6,62.4
"2024-12-04 18:30:01",98,62.4
"2024-12-19 20:30:29",63.7,62.4
"2025-01-02 19:01:29",98,62.4
"2025-01-26 18:01:24",58.8,58.8
"2025-02-09 18:21:23",98,58.8
"2025-03-13 17:16:25",58.8,58.8
"2025-03-20 18:01:18",98,58.8
"2025-04-10 17:01:16",53.9,53.9
"2025-04-24 17:01:10",98,53.9
"2025-05-24 17:01:17",49,49
"2025-06-07 17:01:13",98,49
"2025-06-26 17:36:18",49,49
"2025-07-10 17:11:16",98,49
"2025-07-22 17:01:16",49,49
"2025-07-28 17:11:13",98,49
"2025-09-11 17:01:16",49,49
"2025-09-18 17:01:12",98,49
"2025-09-29 17:08:13",49,49
"2025-10-06 17:11:21",98,49
"2025-11-17 17:05:03",49,49
"2025-11-24 17:05:03",98,49
"2025-12-09 08:51:49",98,49
"2025-12-09 08:51:49",,49
