tag
RPG
Female Protagonist
Cyberpunk
Pixel Graphics
2.5D
Anime
Story Rich
Action-Adventure
Indie
Action
Adventure
Singleplayer
2D Platformer
Stylized
Action RPG
Exploration
Futuristic
Lore-Rich
Sci-fi
Spectacle fighter
