tag
Life Sim
Building
Farming Sim
Multiplayer
Sandbox
Crafting
Dating Sim
RPG
Open World
Character Customization
Mining
Adventure
Post-apocalyptic
Simulation
Casual
Singleplayer
Female Protagonist
Cartoony
Indie
LGBTQ+
