"DateTime","Final price","Historical Low"
"2022-10-20 03:00:03",59.4,59.4
"2022-10-26 17:03:18",66,59.4
"2022-11-22 18:14:24",52.8,52.8
"2022-11-29 18:26:54",66,52.8
"2022-12-22 18:15:07",52.8,52.8
"2023-01-05 18:27:26",66,52.8
"2023-01-18 04:05:02",52.8,52.8
"2023-01-27 04:05:04",66,52.8
"2023-03-16 17:27:07",46.2,46.2
"2023-03-23 17:27:07",66,46.2
"2023-04-06 17:03:28",46.2,46.2
"2023-04-12 16:45:02",0,
"2023-04-13 00:25:03",46.2,46.2
"2023-04-20 17:03:34",66,46.2
"2023-05-20 17:03:35",46.2,46.2
"2023-05-27 17:03:24",66,46.2
"2023-06-29 17:32:03",46.2,46.2
"2023-07-13 17:27:42",66,46.2
"2023-08-17 17:03:24",46.2,46.2
"2023-08-31 17:02:52",66,46.2
"2023-10-01 02:05:02",46.2,46.2
"2023-10-15 02:05:02",66,46.2
"2023-11-21 18:24:26",39.6,39.6
"2023-11-28 18:33:30",66,39.6
"2023-12-21 18:15:02",39.6,39.6
"2024-01-04 18:35:47",66,39.6
"2024-02-06 18:03:23",39.6,39.6
"2024-02-15 18:28:25",66,39.6
"2024-03-14 17:48:37",39.6,39.6
"2024-04-04 17:04:08",66,39.6
"2024-05-06 17:24:52",39.6,39.6
"2024-05-20 17:24:54",66,39.6
"2024-06-27 17:56:57",39.6,39.6
"2024-07-11 17:33:24",66,39.6
"2024-09-10 17:02:49",39.6,39.6
"2024-09-24 17:03:11",66,39.6
"2024-11-27 18:33:22",39.6,39.6
"2024-12-04 18:33:37",66,39.6
"2024-12-19 20:31:40",39.6,39.6
"2025-01-02 19:01:53",66,39.6
"2025-03-13 17:16:38",33,33
"2025-03-20 18:01:51",66,33
"2025-06-26 17:24:47",33,33
"2025-07-10 17:13:06",66,33
"2025-09-29 17:08:27",33,33
"2025-10-06 17:11:32",66,33
"2025-12-09 11:37:03",66,33
"2025-12-09 11:37:03",,33
