tag
Life Sim
RPG
Open World
Farming Sim
Crafting
Simulation
Casual
Adventure
Singleplayer
Building
Agriculture
Sandbox
Indie
Relaxing
Mining
Exploration
Survival
Cartoony
Post-apocalyptic
Female Protagonist
