tag
Action
Female Protagonist
Hack and Slash
Anime
Side Scroller
Adventure
Indie
Singleplayer
2D
RPG
Narration
Cyberpunk
Great Soundtrack
Character Action Game
Spectacle fighter
Metroidvania
Sci-fi
Platformer
Funny
Lovecraftian
