tag
RPG
Martial Arts
Pixel Graphics
Turn-Based
Story Rich
Open World
Adventure
2.5D
Strategy
Singleplayer
Drama
Turn-Based Combat
Swordplay
1990's
Foreign
Tactical
Turn-Based Strategy
Turn-Based Tactics
Action RPG
Silent Protagonist
