"DateTime","Final price","Historical Low"
"2023-08-23 12:05:01",98,98
"2023-12-04 18:23:30",68.6,68.6
"2024-01-04 18:32:02",98,68.6
"2024-01-25 00:20:02",0,
"2024-01-25 00:45:02",98,68.6
"2024-02-07 16:05:01",78.4,68.6
"2024-02-15 16:05:02",98,68.6
"2024-03-14 17:44:59",68.6,68.6
"2024-03-21 17:30:47",98,68.6
"2024-04-11 17:02:46",68.6,68.6
"2024-04-25 17:03:27",98,68.6
"2024-06-03 17:23:22",78.4,68.6
"2024-06-10 17:23:03",98,68.6
"2024-06-27 17:53:53",68.6,68.6
"2024-07-11 17:30:27",98,68.6
"2024-07-22 17:23:32",78.4,68.6
"2024-07-29 17:23:22",98,68.6
"2024-09-20 16:05:02",49,49
"2024-10-04 16:05:02",98,49
"2024-11-03 16:05:02",58.8,49
"2024-11-17 16:05:02",98,49
"2024-11-27 18:26:35",58.8,49
"2024-12-04 18:30:44",98,49
"2024-12-19 20:30:24",58.8,49
"2025-01-02 19:01:24",98,49
"2025-01-23 02:05:02",58.8,49
"2025-02-07 04:05:01",98,49
"2025-03-13 17:16:16",58.8,49
"2025-03-20 18:01:12",98,49
"2025-05-29 04:05:02",68.6,49
"2025-06-05 04:05:03",98,49
"2025-06-26 17:20:12",58.8,49
"2025-06-26 19:57:49",58.8,49
"2025-07-10 17:11:09",98,49
"2025-08-11 04:05:02",68.6,49
"2025-08-18 04:05:03",98,49
"2025-09-20 04:05:01",49,49
"2025-09-27 04:05:02",98,49
"2025-09-29 17:08:00",58.8,49
"2025-10-06 17:11:08",98,49
"2025-11-10 18:11:09",58.8,49
"2025-11-17 18:11:09",98,49
"2025-12-10 11:27:26",98,49
"2025-12-10 11:27:26",,49
