tag
Life Sim
Multiple Endings
Choices Matter
RPG
Dating Sim
Female Protagonist
Anime
Simulation
Visual Novel
Story Rich
Cute
Singleplayer
Time Management
Strategy
Indie
JRPG
Drama
Medieval
Turn-Based Combat
Hand-drawn
