tag
FMV
Interactive Fiction
Choose Your Own Adventure
Exploration
Immersive Sim
Choices Matter
Lore-Rich
Story Rich
Puzzle
Multiple Endings
RPG
Psychological Horror
Cinematic
Strategy RPG
Horror
Realistic
Detective
Point & Click
RTS
Casual
