tag
Dating Sim
Sexual Content
FMV
Singleplayer
Visual Novel
Romance
First-Person
Multiple Endings
Choices Matter
Interactive Fiction
Story Rich
Immersive Sim
RPG
Choose Your Own Adventure
Emotional
Drama
Female Protagonist
Relaxing
Simulation
Multiplayer
