tag
RPG
Martial Arts
Open World
Multiple Endings
Pixel Graphics
Strategy
Adventure
Indie
Singleplayer
Turn-Based
Turn-Based Strategy
Choose Your Own Adventure
Simulation
Stealth
2D
Drama
Sexual Content
Anime
RPGMaker
Mature
