"DateTime","Final price","Historical Low"
"2019-06-26 15:20:19",68,68
"2019-07-09 17:11:11",80,68
"2019-10-19 17:11:04",64,64
"2019-10-27 17:11:11",80,64
"2019-10-28 20:40:34",64,64
"2019-11-01 17:18:17",80,64
"2019-11-10 16:41:04",64,64
"2019-11-12 17:44:02",80,64
"2019-11-20 17:07:37",64,64
"2019-11-25 17:44:12",80,64
"2019-11-26 18:07:49",64,64
"2019-12-03 18:11:07",80,64
"2019-12-19 18:06:27",63,63
"2020-01-02 18:13:04",80,63
"2020-01-14 18:12:57",62,62
"2020-01-21 18:17:42",80,62
"2020-01-23 18:10:48",62,62
"2020-01-27 18:36:19",80,62
"2020-06-19 10:20:18",48,48
"2020-06-25 10:10:24",80,48
"2020-06-25 17:07:02",48,48
"2020-07-09 18:19:50",80,48
"2020-11-25 18:08:52",56,48
"2020-12-01 19:22:43",80,48
"2020-12-17 16:05:11",47,47
"2020-12-22 17:10:07",80,47
"2020-12-22 19:07:31",47,47
"2021-01-05 19:27:49",80,47
"2021-02-11 18:06:53",47,47
"2021-02-15 19:15:53",80,47
"2021-06-23 17:04:44",44,44
"2021-07-07 17:10:10",80,44
"2021-08-30 17:08:57",43,43
"2021-09-03 17:08:23",80,43
"2021-10-28 17:38:37",44,43
"2021-11-01 17:25:22",80,43
"2021-11-24 18:08:58",44,43
"2021-12-01 18:20:37",80,43
"2021-12-22 18:03:40",44,43
"2022-01-05 18:22:12",80,43
"2022-01-27 18:23:04",40,40
"2022-02-03 18:23:06",80,40
"2022-04-14 16:05:02",48,40
"2022-04-21 16:05:03",80,40
"2022-06-21 16:05:02",38.4,38.4
"2022-06-23 16:05:02",80,38.4
"2022-06-23 17:26:56",38.4,38.4
"2022-06-23 17:34:57",38.4,38.4
"2022-07-07 17:23:16",80,38.4
"2022-10-10 23:05:02",35.2,35.2
"2022-10-17 18:25:16",80,35.2
"2022-11-22 18:17:14",34.4,34.4
"2022-11-29 18:23:07",80,34.4
"2022-12-22 18:10:22",33.6,33.6
"2023-01-05 18:30:24",80,33.6
"2023-01-16 18:22:14",33.6,33.6
"2023-01-23 18:22:17",80,33.6
"2023-03-16 17:22:54",32,32
"2023-03-23 17:23:04",80,32
"2023-04-11 17:01:50",32,32
"2023-04-18 17:01:48",80,32
"2023-06-28 17:01:56",30.4,30.4
"2023-07-13 17:23:13",80,30.4
"2023-09-21 17:01:59",29.6,29.6
"2023-09-27 17:01:52",80,29.6
"2023-11-21 18:11:21",29.6,29.6
"2023-11-28 18:28:34",80,29.6
"2023-12-02 09:30:02",28.8,28.8
"2023-12-09 18:01:44",80,28.8
"2023-12-21 18:09:21",26.4,26.4
"2024-01-04 18:29:00",80,26.4
"2024-02-26 18:22:12",28,26.4
"2024-03-04 18:22:12",80,26.4
"2024-03-14 17:41:51",25.6,25.6
"2024-03-21 17:28:43",80,25.6
"2024-04-26 03:15:02",25.6,25.6
"2024-05-03 17:01:50",80,25.6
"2024-06-25 17:01:42",24,24
"2024-07-11 17:28:31",80,24
"2024-10-12 17:01:40",24,24
"2024-10-19 17:01:34",80,24
"2024-11-27 18:23:30",24,24
"2024-12-04 18:28:40",80,24
"2024-12-19 20:32:08",24,24
"2025-01-02 19:03:19",80,24
"2025-02-10 18:22:16",24,24
"2025-02-17 18:21:30",80,24
"2025-03-13 17:38:14",24,24
"2025-03-20 18:02:51",80,24
"2025-04-23 17:01:59",24,24
"2025-05-02 17:01:29",80,24
"2025-06-26 19:04:38",24,24
"2025-07-10 17:12:30",80,24
"2025-07-22 17:01:53",24,24
"2025-07-28 17:11:27",80,24
"2025-09-23 17:02:02",24,24
"2025-10-06 17:12:47",80,24
"2025-11-25 18:02:09",24,24
"2025-12-07 18:01:36",80,24
"2025-12-10 09:55:11",80,24
"2025-12-10 09:55:11",,24
