"DateTime","Final price","Historical Low"
"2020-03-27 03:10:04",49,49
"2020-04-03 03:10:07",58,49
"2020-05-13 17:11:04",49,49
"2020-05-29 17:25:52",58,49
"2020-06-25 17:05:50",42,42
"2020-07-09 17:10:51",58,42
"2020-07-30 17:07:02",46,42
"2020-08-13 17:08:19",58,42
"2020-09-12 17:06:21",49,42
"2020-09-14 17:30:13",58,42
"2020-09-29 16:05:51",46,42
"2020-10-12 16:10:09",58,42
"2020-10-29 17:01:42",42,42
"2020-11-02 19:30:14",58,42
"2020-11-25 18:05:37",42,42
"2020-12-01 18:53:43",58,42
"2020-12-22 18:36:54",37,37
"2021-01-05 19:24:19",58,37
"2021-02-11 18:05:47",37,37
"2021-02-15 18:57:17",58,37
"2021-03-25 15:05:15",34,34
"2021-04-08 15:05:11",58,34
"2021-06-24 17:36:48",34,34
"2021-07-08 18:02:04",58,34
"2021-08-04 12:35:11",31,31
"2021-08-10 12:35:08",58,31
"2021-09-09 17:09:16",31,31
"2021-09-13 17:16:16",58,31
"2021-09-29 15:07:32",31.9,31
"2021-09-29 15:11:02",58,31
"2021-09-29 21:20:22",31.9,31
"2021-10-04 17:03:59",58,31
"2021-10-28 17:39:25",31.9,31
"2021-11-01 17:44:24",58,31
"2021-11-24 18:09:37",31.9,31
"2021-12-01 18:20:46",58,31
"2021-12-22 18:04:50",29,29
"2022-01-05 18:28:28",58,29
"2022-01-27 18:23:59",29,29
"2022-02-03 18:24:06",58,29
"2022-02-28 18:22:55",29,29
"2022-03-07 18:40:22",58,29
"2022-03-12 18:02:04",26.1,26.1
"2022-03-14 17:22:47",58,26.1
"2022-03-26 17:02:04",26.1,26.1
"2022-04-02 17:02:05",58,26.1
"2022-06-23 17:26:24",26.1,26.1
"2022-06-23 17:29:16",26.1,26.1
"2022-07-07 17:27:47",58,26.1
"2022-08-08 17:22:41",26.1,26.1
"2022-08-15 17:22:48",58,26.1
"2022-10-11 17:02:16",26.1,26.1
"2022-10-17 17:22:50",58,26.1
"2022-11-15 18:02:10",23.2,23.2
"2022-11-29 18:24:07",58,23.2
"2022-12-22 18:11:42",22.62,22.62
"2023-01-05 18:24:38",58,22.62
"2023-01-16 18:22:44",22.62,22.62
"2023-01-30 18:22:49",58,22.62
"2023-03-16 17:29:21",20.3,20.3
"2023-03-23 17:24:04",58,20.3
"2023-03-30 16:05:02",20.3,20.3
"2023-04-13 16:05:02",58,20.3
"2023-05-24 17:02:21",39,20.3
"2023-06-01 17:02:36",20.3,20.3
"2023-06-05 17:22:49",58,20.3
"2023-06-08 17:02:30",55.2,20.3
"2023-06-16 15:00:03",58,20.3
"2023-06-29 17:18:05",20.3,20.3
"2023-07-13 17:24:18",58,20.3
"2023-07-31 17:22:52",20.3,20.3
"2023-08-07 17:22:53",58,20.3
"2023-09-15 17:02:12",17.4,17.4
"2023-09-22 17:02:14",58,17.4
"2023-10-23 17:22:22",17.4,17.4
"2023-10-30 17:22:42",58,17.4
"2023-11-21 18:12:47",17.4,17.4
"2023-11-28 18:29:47",58,17.4
"2023-12-21 18:10:43",17.4,17.4
"2024-01-04 18:38:50",58,17.4
"2024-02-06 18:02:18",17.4,17.4
"2024-02-19 18:22:46",58,17.4
"2024-03-14 17:43:48",17.4,17.4
"2024-03-21 17:30:03",58,17.4
"2024-04-18 17:02:29",17.4,17.4
"2024-04-22 17:22:56",58,17.4
"2024-05-30 17:02:31",17.4,17.4
"2024-06-13 17:02:25",58,17.4
"2024-06-27 17:53:05",17.4,17.4
"2024-07-11 17:29:42",58,17.4
"2024-08-05 17:22:54",17.4,17.4
"2024-08-12 17:23:01",58,17.4
"2024-10-10 17:02:05",14.5,14.5
"2024-10-17 17:02:07",58,14.5
"2024-10-22 17:02:12",34.8,14.5
"2024-11-05 18:02:09",22.62,14.5
"2024-11-06 18:02:03",58,14.5
"2024-11-27 18:25:26",15.66,14.5
"2024-12-04 18:29:57",58,14.5
"2024-12-19 20:32:06",15.66,14.5
"2025-01-02 19:01:41",58,14.5
"2025-02-05 18:01:24",14.5,14.5
"2025-02-19 18:01:23",58,14.5
"2025-03-13 17:16:31",14.5,14.5
"2025-03-20 18:01:30",58,14.5
"2025-04-09 17:01:23",11.6,11.6
"2025-04-19 17:01:14",58,11.6
"2025-05-28 16:05:04",11.6,11.6
"2025-06-09 16:05:05",58,11.6
"2025-06-26 19:00:00",11.6,11.6
"2025-07-10 17:11:21",58,11.6
"2025-07-28 17:11:28",11.6,11.6
"2025-08-11 17:11:11",58,11.6
"2025-09-29 17:08:43",5.8,5.8
"2025-10-06 17:11:10",58,5.8
"2025-10-13 17:11:19",8.7,5.8
"2025-10-18 17:01:13",58,5.8
"2025-11-17 18:11:24",8.7,5.8
"2025-11-24 18:11:14",58,5.8
"2025-12-09 08:43:41",58,5.8
"2025-12-09 08:43:41",,5.8
