tag
Battle Royale
Multiplayer
Martial Arts
Mature
PvP
Action
Female Protagonist
Character Customization
Fighting
Massively Multiplayer
Survival
Third Person
Swordplay
Hack and Slash
Anime
Free to Play
Parkour
Adventure
Violent
Gore
