"DateTime","Final price","Historical Low"
"2024-05-31 07:00:02",97.2,97.2
"2024-06-13 17:04:04",108,97.2
"2024-07-18 07:05:02",97.2,97.2
"2024-08-01 07:05:02",108,97.2
"2024-09-26 07:05:02",97.2,97.2
"2024-10-10 07:05:02",108,97.2
"2024-11-25 08:05:02",86.4,86.4
"2024-12-09 08:05:02",108,86.4
"2024-12-19 20:30:25",86.4,86.4
"2025-01-02 19:01:29",108,86.4
"2025-01-26 18:01:23",84.24,84.24
"2025-02-09 18:21:23",108,84.24
"2025-03-13 17:16:25",81,81
"2025-04-03 17:01:12",108,81
"2025-04-29 17:01:13",89.25,81
"2025-05-04 06:20:02",108,81
"2025-05-04 07:05:03",81,81
"2025-05-06 07:05:02",108,81
"2025-05-21 17:01:15",89.25,81
"2025-06-05 04:20:02",108,81
"2025-06-05 07:05:02",75.6,75.6
"2025-06-19 07:05:03",108,75.6
"2025-06-19 14:30:02",83.3,75.6
"2025-06-26 17:50:00",75.6,75.6
"2025-07-10 17:11:09",108,75.6
"2025-07-15 06:55:02",83.3,75.6
"2025-07-31 17:01:19",75.6,75.6
"2025-08-14 17:01:12",108,75.6
"2025-08-15 02:25:02",83.3,75.6
"2025-09-15 17:11:14",75.6,75.6
"2025-10-06 17:11:15",108,75.6
"2025-10-10 17:01:17",83.3,75.6
"2025-10-30 17:01:22",108,75.6
"2025-10-30 18:05:03",75.6,75.6
"2025-11-04 18:01:22",108,75.6
"2025-11-22 14:05:03",83.3,75.6
"2025-12-04 18:01:20",75.6,75.6
"2025-12-09 09:22:21",75.6,75.6
"2025-12-09 09:22:21",,75.6
