tag
Mythology
Action RPG
Action
Souls-like
RPG
Combat
Story Rich
Singleplayer
Action-Adventure
Drama
Dark Fantasy
Atmospheric
Adventure
3D
Fantasy
Hack and Slash
Difficult
Third Person
Music
Violent
