tag
CRPG
Action Roguelike
2D Platformer
Roguelite
3D Platformer
Life Sim
Party-Based RPG
Action RPG
Action-Adventure
Roguelike
RPG
Character Customization
2D
3D
Dark Humor
Third Person
Multiple Endings
Story Rich
Casual
Linear
