tag
Detective
Adventure
Puzzle
Story Rich
Indie
Exploration
Mystery
Drama
Puzzle Platformer
Investigation
Logic
Historical
Lore-Rich
RPG
Singleplayer
Text-Based
2D
Old School
First-Person
Colorful
